rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_vec__max_df,param_vec__max_features,param_vec__min_df,param_vec__ngram_range,params,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score
1,0.8549200000000001,0.0021894291493446496,0.9992700000000001,0.000143527000944093,12.036256694793702,0.5534961034770952,1.1004796504974366,0.11391963483184044,0.8,,1,"(2, 2)","{'vec__max_df': 0.8, 'vec__max_features': None, 'vec__min_df': 1, 'vec__ngram_range': (2, 2)}",0.8564,0.99935,0.8506,0.9995,0.8564,0.99915,0.8556,0.99925,0.8556,0.9991
1,0.8549200000000001,0.0021894291493446496,0.9992700000000001,0.000143527000944093,12.376744794845582,0.5376031847019169,1.0282976627349854,0.07463586612489401,0.9,,1,"(2, 2)","{'vec__max_df': 0.9, 'vec__max_features': None, 'vec__min_df': 1, 'vec__ngram_range': (2, 2)}",0.8564,0.99935,0.8506,0.9995,0.8564,0.99915,0.8556,0.99925,0.8556,0.9991
1,0.8549200000000001,0.0021894291493446496,0.9992700000000001,0.000143527000944093,12.45009741783142,0.55016662944842,1.1049248218536376,0.11709601382923293,1.0,,1,"(2, 2)","{'vec__max_df': 1.0, 'vec__max_features': None, 'vec__min_df': 1, 'vec__ngram_range': (2, 2)}",0.8564,0.99935,0.8506,0.9995,0.8564,0.99915,0.8556,0.99925,0.8556,0.9991
4,0.8533999999999999,0.0025139610179953148,0.90812,0.0008280096617794062,3.0015174388885497,0.1348053522710152,0.7087020874023438,0.05368749197091007,0.8,50500,1,"(1, 1)","{'vec__max_df': 0.8, 'vec__max_features': 50500, 'vec__min_df': 1, 'vec__ngram_range': (1, 1)}",0.8496,0.90835,0.8568,0.90665,0.8554,0.90885,0.853,0.9089,0.8522,0.90785
4,0.8533999999999999,0.0025139610179953148,0.90812,0.0008280096617794062,3.1271739959716798,0.17454848279483526,0.7196940898895263,0.061391733501740715,0.9,50500,1,"(1, 1)","{'vec__max_df': 0.9, 'vec__max_features': 50500, 'vec__min_df': 1, 'vec__ngram_range': (1, 1)}",0.8496,0.90835,0.8568,0.90665,0.8554,0.90885,0.853,0.9089,0.8522,0.90785
4,0.8533999999999999,0.0025139610179953148,0.90812,0.0008280096617794062,3.219497632980347,0.1784860579244185,0.7613659381866456,0.06568168048881586,1.0,50500,1,"(1, 1)","{'vec__max_df': 1.0, 'vec__max_features': 50500, 'vec__min_df': 1, 'vec__ngram_range': (1, 1)}",0.8496,0.90835,0.8568,0.90665,0.8554,0.90885,0.853,0.9089,0.8522,0.90785
7,0.8532400000000001,0.0020333224043421827,0.91037,0.0008482924024179232,2.912351894378662,0.171702237821099,0.6905787944793701,0.0557217303251199,0.8,100500,1,"(1, 1)","{'vec__max_df': 0.8, 'vec__max_features': 100500, 'vec__min_df': 1, 'vec__ngram_range': (1, 1)}",0.8504,0.9107,0.8562,0.909,0.8548,0.9109,0.8524,0.9114,0.8524,0.90985
7,0.8532400000000001,0.0020333224043421827,0.91037,0.0008482924024179232,2.95908637046814,0.14521487124356988,0.7142598628997803,0.04295987618118027,0.8,150500,1,"(1, 1)","{'vec__max_df': 0.8, 'vec__max_features': 150500, 'vec__min_df': 1, 'vec__ngram_range': (1, 1)}",0.8504,0.9107,0.8562,0.909,0.8548,0.9109,0.8524,0.9114,0.8524,0.90985
7,0.8532400000000001,0.0020333224043421827,0.91037,0.0008482924024179232,2.950652313232422,0.16245400842519742,0.7163408756256103,0.04069844689665933,0.8,,1,"(1, 1)","{'vec__max_df': 0.8, 'vec__max_features': None, 'vec__min_df': 1, 'vec__ngram_range': (1, 1)}",0.8504,0.9107,0.8562,0.909,0.8548,0.9109,0.8524,0.9114,0.8524,0.90985
7,0.8532400000000001,0.0020333224043421827,0.91037,0.0008482924024179232,3.1389012336730957,0.17842904345089844,0.7639941215515137,0.02178179645126709,0.9,100500,1,"(1, 1)","{'vec__max_df': 0.9, 'vec__max_features': 100500, 'vec__min_df': 1, 'vec__ngram_range': (1, 1)}",0.8504,0.9107,0.8562,0.909,0.8548,0.9109,0.8524,0.9114,0.8524,0.90985
7,0.8532400000000001,0.0020333224043421827,0.91037,0.0008482924024179232,3.2064167499542235,0.21204167287924003,0.7461112976074219,0.05688685815673897,0.9,150500,1,"(1, 1)","{'vec__max_df': 0.9, 'vec__max_features': 150500, 'vec__min_df': 1, 'vec__ngram_range': (1, 1)}",0.8504,0.9107,0.8562,0.909,0.8548,0.9109,0.8524,0.9114,0.8524,0.90985
7,0.8532400000000001,0.0020333224043421827,0.91037,0.0008482924024179232,3.194154691696167,0.14866685144961145,0.7384846687316895,0.06115551766048326,0.9,,1,"(1, 1)","{'vec__max_df': 0.9, 'vec__max_features': None, 'vec__min_df': 1, 'vec__ngram_range': (1, 1)}",0.8504,0.9107,0.8562,0.909,0.8548,0.9109,0.8524,0.9114,0.8524,0.90985
7,0.8532400000000001,0.0020333224043421827,0.91037,0.0008482924024179232,3.157348966598511,0.17786930533958867,0.7292239665985107,0.06548386603801043,1.0,100500,1,"(1, 1)","{'vec__max_df': 1.0, 'vec__max_features': 100500, 'vec__min_df': 1, 'vec__ngram_range': (1, 1)}",0.8504,0.9107,0.8562,0.909,0.8548,0.9109,0.8524,0.9114,0.8524,0.90985
7,0.8532400000000001,0.0020333224043421827,0.91037,0.0008482924024179232,3.1209059238433836,0.17102496471523068,0.7618534088134765,0.028591575766361534,1.0,150500,1,"(1, 1)","{'vec__max_df': 1.0, 'vec__max_features': 150500, 'vec__min_df': 1, 'vec__ngram_range': (1, 1)}",0.8504,0.9107,0.8562,0.909,0.8548,0.9109,0.8524,0.9114,0.8524,0.90985
7,0.8532400000000001,0.0020333224043421827,0.91037,0.0008482924024179232,3.156323051452637,0.14648293754433003,0.7295804977416992,0.04611569775236899,1.0,,1,"(1, 1)","{'vec__max_df': 1.0, 'vec__max_features': None, 'vec__min_df': 1, 'vec__ngram_range': (1, 1)}",0.8504,0.9107,0.8562,0.909,0.8548,0.9109,0.8524,0.9114,0.8524,0.90985
16,0.84956,0.0024507957891264586,0.9819000000000001,0.0004438468204234291,11.977141427993775,0.4775409272595863,0.94935622215271,0.05356137952846198,0.8,150500,1,"(2, 2)","{'vec__max_df': 0.8, 'vec__max_features': 150500, 'vec__min_df': 1, 'vec__ngram_range': (2, 2)}",0.8516,0.9816,0.8456,0.9826,0.8518,0.9815,0.851,0.98225,0.8478,0.98155
16,0.84956,0.0024507957891264586,0.9819000000000001,0.0004438468204234291,12.390830135345459,0.34460525225889505,1.013835859298706,0.08399748991856916,0.9,150500,1,"(2, 2)","{'vec__max_df': 0.9, 'vec__max_features': 150500, 'vec__min_df': 1, 'vec__ngram_range': (2, 2)}",0.8516,0.9816,0.8456,0.9826,0.8518,0.9815,0.851,0.98225,0.8478,0.98155
16,0.84956,0.0024507957891264586,0.9819000000000001,0.0004438468204234291,12.38178858757019,0.4454494480612203,0.9959957599639893,0.035142452792933945,1.0,150500,1,"(2, 2)","{'vec__max_df': 1.0, 'vec__max_features': 150500, 'vec__min_df': 1, 'vec__ngram_range': (2, 2)}",0.8516,0.9816,0.8456,0.9826,0.8518,0.9815,0.851,0.98225,0.8478,0.98155
19,0.8480399999999999,0.002599692289483521,0.9706499999999998,0.0007321202087089506,12.07382435798645,0.40852088653987845,0.9204450130462647,0.052532554045403586,0.8,100500,1,"(2, 2)","{'vec__max_df': 0.8, 'vec__max_features': 100500, 'vec__min_df': 1, 'vec__ngram_range': (2, 2)}",0.8508,0.9702,0.8462,0.97175,0.8516,0.9713,0.846,0.97,0.8456,0.97
19,0.8480399999999999,0.002599692289483521,0.9706499999999998,0.0007321202087089506,12.546018266677857,0.5284556311156401,0.9996007919311524,0.03488832866514855,0.9,100500,1,"(2, 2)","{'vec__max_df': 0.9, 'vec__max_features': 100500, 'vec__min_df': 1, 'vec__ngram_range': (2, 2)}",0.8508,0.9702,0.8462,0.97175,0.8516,0.9713,0.846,0.97,0.8456,0.97
19,0.8480399999999999,0.002599692289483521,0.9706499999999998,0.0007321202087089506,12.463483524322509,0.6454417688598086,1.0003015518188476,0.10144077291194602,1.0,100500,1,"(2, 2)","{'vec__max_df': 1.0, 'vec__max_features': 100500, 'vec__min_df': 1, 'vec__ngram_range': (2, 2)}",0.8508,0.9702,0.8462,0.97175,0.8516,0.9713,0.846,0.97,0.8456,0.97
22,0.84724,0.0008138795979750232,0.87354,0.000779358710735915,2.9830257892608643,0.10205163716873084,0.6820427894592285,0.06475237240652824,0.8,10500,1,"(1, 1)","{'vec__max_df': 0.8, 'vec__max_features': 10500, 'vec__min_df': 1, 'vec__ngram_range': (1, 1)}",0.8462,0.87445,0.8482,0.8725,0.8482,0.8738,0.8468,0.87275,0.8468,0.8742
22,0.84724,0.0008138795979750232,0.87354,0.000779358710735915,3.221467208862305,0.17967689397414158,0.7323446273803711,0.05619070143560594,0.9,10500,1,"(1, 1)","{'vec__max_df': 0.9, 'vec__max_features': 10500, 'vec__min_df': 1, 'vec__ngram_range': (1, 1)}",0.8462,0.87445,0.8482,0.8725,0.8482,0.8738,0.8468,0.87275,0.8468,0.8742
22,0.84724,0.0008138795979750232,0.87354,0.000779358710735915,3.173228359222412,0.15399870929420445,0.7076467990875244,0.04163152161125535,1.0,10500,1,"(1, 1)","{'vec__max_df': 1.0, 'vec__max_features': 10500, 'vec__min_df': 1, 'vec__ngram_range': (1, 1)}",0.8462,0.87445,0.8482,0.8725,0.8482,0.8738,0.8468,0.87275,0.8468,0.8742
25,0.84352,0.002525391058826325,0.85969,0.0006974238309665266,3.1660972595214845,0.1461842852375866,0.7124526500701904,0.02070894131845507,0.8,5500,1,"(1, 1)","{'vec__max_df': 0.8, 'vec__max_features': 5500, 'vec__min_df': 1, 'vec__ngram_range': (1, 1)}",0.842,0.86045,0.8436,0.85965,0.8482,0.86045,0.843,0.85865,0.8408,0.85925
25,0.84352,0.002525391058826325,0.85969,0.0006974238309665266,3.0418930530548094,0.2025097455666129,0.6797754764556885,0.0703115433135579,0.9,5500,1,"(1, 1)","{'vec__max_df': 0.9, 'vec__max_features': 5500, 'vec__min_df': 1, 'vec__ngram_range': (1, 1)}",0.842,0.86045,0.8436,0.85965,0.8482,0.86045,0.843,0.85865,0.8408,0.85925
25,0.84352,0.002525391058826325,0.85969,0.0006974238309665266,3.2067930698394775,0.1288474198831504,0.7058815479278564,0.056087814694348696,1.0,5500,1,"(1, 1)","{'vec__max_df': 1.0, 'vec__max_features': 5500, 'vec__min_df': 1, 'vec__ngram_range': (1, 1)}",0.842,0.86045,0.8436,0.85965,0.8482,0.86045,0.843,0.85865,0.8408,0.85925
28,0.8414400000000001,0.0031582273509042926,0.9442,0.0006188699378706034,11.986287832260132,0.475907856198212,0.8708177089691163,0.08248377717731194,0.8,50500,1,"(2, 2)","{'vec__max_df': 0.8, 'vec__max_features': 50500, 'vec__min_df': 1, 'vec__ngram_range': (2, 2)}",0.8424,0.94415,0.8396,0.94435,0.846,0.9431,0.8426,0.9444,0.8366,0.945
